Amount(in rupees),Status,Transaction,Furnishing,facing,overlooking,Ownership,price_clean,area_sqft,floor_num,bathroom_num,balcony_num,car_parking_num,location_grouped,price_per_sqft
1.45 Cr ,Ready to Move,Resale,Unfurnished,South,Main Road,Co-operative Society,14500000.0,720.0,1.0,1.0,2.0,1.0,thane,20138.88888888889
50 Lac ,Ready to Move,Resale,Unfurnished,,,,5000000.0,665.0,5.0,1.0,0.0,0.0,thane,7518.796992481203
1.09 Cr ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,10900000.0,640.0,17.0,2.0,1.0,1.0,thane,17031.25
21 Lac ,Ready to Move,Resale,Furnished,,,,2100000.0,345.0,,2.0,0.0,0.0,thane,6086.95652173913
90 Lac ,Ready to Move,Resale,Unfurnished,,,,9000000.0,1060.0,15.0,2.0,0.0,0.0,thane,8490.566037735849
70 Lac ,Ready to Move,Resale,Semi-Furnished,,,,7000000.0,600.0,1.0,2.0,0.0,0.0,thane,11666.666666666666
30 Lac ,Ready to Move,Resale,Unfurnished,,,,3000000.0,385.0,4.0,2.0,0.0,0.0,thane,7792.207792207792
28.1 Lac ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Main Road",Freehold,2810000.0,384.0,19.0,2.0,0.0,1.0,thane,7317.708333333333
48 Lac ,Ready to Move,Resale,Unfurnished,,,,4800000.0,548.0,4.0,1.0,0.0,0.0,thane,8759.12408759124
76 Lac ,Ready to Move,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Co-operative Society,7600000.0,450.0,13.0,2.0,1.0,1.0,thane,16888.88888888889
1.11 Cr ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,11100000.000000002,650.0,21.0,2.0,1.0,1.0,thane,17076.923076923078
35 Lac ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",Freehold,3500000.0,510.0,8.0,2.0,1.0,1.0,thane,6862.745098039216
2.20 Cr ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Main Road",Freehold,22000000.0,810.0,29.0,2.0,2.0,1.0,thane,27160.493827160495
1.76 Cr ,Ready to Move,New Property,Unfurnished,North - East,Garden/Park,Freehold,17600000.0,800.0,2.0,2.0,1.0,1.0,thane,22000.0
85 Lac ,Ready to Move,Resale,Semi-Furnished,East,Main Road,Co-operative Society,8500000.0,670.0,5.0,2.0,1.0,0.0,thane,12686.567164179105
49.5 Lac ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Main Road",Freehold,4950000.0,500.0,2.0,2.0,1.0,1.0,thane,9900.0
1.77 Cr ,Ready to Move,New Property,Unfurnished,North - East,Garden/Park,Freehold,17700000.0,804.0,2.0,2.0,1.0,1.0,thane,22014.925373134327
15 Lac ,Ready to Move,Resale,Unfurnished,,,,1500000.0,390.0,3.0,1.0,0.0,0.0,thane,3846.153846153846
60 Lac ,Ready to Move,Resale,Unfurnished,,,,6000000.0,625.0,16.0,2.0,0.0,0.0,thane,9600.0
1.05 Cr ,Ready to Move,Resale,Unfurnished,,,,10500000.0,770.0,8.0,2.0,0.0,0.0,thane,13636.363636363636
2.35 Cr ,Ready to Move,Resale,Semi-Furnished,East,Garden/Park,Freehold,23500000.0,1040.0,16.0,3.0,0.0,2.0,thane,22596.153846153848
1.09 Cr ,Ready to Move,Resale,Unfurnished,North - East,"Garden/Park, Pool",Freehold,10900000.0,672.0,22.0,2.0,1.0,1.0,thane,16220.238095238095
35 Lac ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",Freehold,3500000.0,500.0,1.0,1.0,1.0,1.0,thane,7000.0
1.14 Cr ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,11399999.999999998,650.0,23.0,2.0,1.0,1.0,thane,17538.461538461535
33 Lac ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",Freehold,3300000.0,450.0,10.0,2.0,0.0,1.0,thane,7333.333333333333
41 Lac ,Ready to Move,Resale,,,,,4100000.0,1090.0,3.0,2.0,0.0,0.0,thane,3761.467889908257
41 Lac ,Ready to Move,Resale,,,,,4100000.0,485.0,0.0,1.0,0.0,0.0,thane,8453.60824742268
23.9 Lac ,Ready to Move,Resale,Semi-Furnished,East,Garden/Park,Freehold,2390000.0,654.0,1.0,1.0,0.0,35.0,thane,3654.434250764526
