Amount(in rupees),Status,Transaction,Furnishing,facing,overlooking,Ownership,price_clean,area_sqft,floor_num,bathroom_num,balcony_num,car_parking_num,location_grouped,price_per_sqft
37.5 Lac ,Ready to Move,Resale,Furnished,,,,3750000.0,1020.0,5.0,2.0,2.0,0.0,ahmedabad,3676.470588235294
70 Lac ,Ready to Move,Resale,Unfurnished,East,Main Road,Freehold,7000000.0,1170.0,7.0,2.0,2.0,1.0,ahmedabad,5982.9059829059825
36 Lac ,Ready to Move,Resale,Unfurnished,,,,3600000.0,1080.0,5.0,2.0,0.0,0.0,ahmedabad,3333.3333333333335
1.35 Cr ,Ready to Move,Resale,Unfurnished,,,,13500000.0,1999.0,8.0,3.0,0.0,0.0,ahmedabad,6753.376688344172
1.35 Cr ,Ready to Move,Resale,Semi-Furnished,,,,13500000.0,1999.0,12.0,3.0,0.0,0.0,ahmedabad,6753.376688344172
1.40 Cr ,Ready to Move,Resale,Semi-Furnished,,,,14000000.0,1999.0,10.0,3.0,0.0,0.0,ahmedabad,7003.501750875438
1.45 Cr ,Ready to Move,Resale,Semi-Furnished,,,,14500000.0,1999.0,8.0,3.0,0.0,0.0,ahmedabad,7253.626813406703
58 Lac ,Ready to Move,Resale,Unfurnished,East,,Co-operative Society,5800000.0,882.0,,2.0,0.0,1.0,ahmedabad,6575.963718820862
55 Lac ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Main Road",Freehold,5500000.0,690.0,4.0,2.0,2.0,1.0,ahmedabad,7971.014492753623
22 Lac ,Ready to Move,Resale,Unfurnished,East,,,2200000.0,527.0,4.0,2.0,2.0,0.0,ahmedabad,4174.573055028463
1.36 Cr ,Ready to Move,Resale,Unfurnished,South -West,,Freehold,13600000.000000002,1467.0,4.0,3.0,5.0,0.0,ahmedabad,9270.6203135651
70 Lac ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Main Road",Freehold,7000000.0,810.0,7.0,3.0,0.0,1.0,ahmedabad,8641.975308641975
1.27 Cr ,Ready to Move,New Property,Unfurnished,East,Main Road,Freehold,12700000.0,2013.0,8.0,3.0,2.0,2.0,ahmedabad,6308.991554893194
60 Lac ,Ready to Move,Resale,Furnished,East,,Freehold,6000000.0,1575.0,5.0,3.0,2.0,1.0,ahmedabad,3809.5238095238096
95.3 Lac ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,9530000.0,1143.0,5.0,3.0,1.0,0.0,ahmedabad,8337.707786526684
1.55 Cr ,Ready to Move,Resale,Semi-Furnished,West,Garden/Park,Freehold,15500000.0,1200.0,1.0,3.0,1.0,2.0,ahmedabad,12916.666666666666
2.60 Cr ,Ready to Move,Resale,Furnished,,"Garden/Park, Main Road",Freehold,26000000.0,2000.0,2.0,5.0,2.0,0.0,ahmedabad,13000.0
1.40 Cr ,Ready to Move,Resale,Semi-Furnished,,,Freehold,14000000.0,2160.0,6.0,3.0,1.0,0.0,ahmedabad,6481.481481481482
75 Lac ,Ready to Move,Resale,Unfurnished,West,Garden/Park,Freehold,7500000.0,1134.0,3.0,3.0,1.0,1.0,ahmedabad,6613.756613756614
2.36 Cr ,Ready to Move,Resale,Unfurnished,East,Garden/Park,Freehold,23600000.0,1918.0,3.0,4.0,1.0,2.0,ahmedabad,12304.483837330552
92.1 Lac ,Ready to Move,New Property,Unfurnished,,,,9210000.0,1575.0,,3.0,0.0,2.0,ahmedabad,5847.619047619048
93.7 Lac ,Ready to Move,New Property,Unfurnished,,,,9370000.0,1602.0,,3.0,0.0,2.0,ahmedabad,5848.938826466916
94.2 Lac ,Ready to Move,New Property,Unfurnished,,,,9420000.0,1611.0,,3.0,0.0,2.0,ahmedabad,5847.299813780261
67 Lac ,Ready to Move,Resale,Semi-Furnished,East,Garden/Park,Freehold,6700000.0,840.0,8.0,3.0,1.0,1.0,ahmedabad,7976.190476190476
44.3 Lac ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,4430000.0,680.0,1.0,2.0,1.0,1.0,ahmedabad,6514.705882352941
1.60 Cr ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,16000000.0,1270.0,6.0,3.0,1.0,2.0,ahmedabad,12598.425196850394
58 Lac ,Ready to Move,Resale,Semi-Furnished,,,,5800000.0,1590.0,10.0,3.0,2.0,1.0,ahmedabad,3647.7987421383646
42 Lac ,Ready to Move,Resale,Semi-Furnished,,,,4200000.0,1179.0,1.0,2.0,0.0,0.0,ahmedabad,3562.3409669211196
53.8 Lac ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Main Road",Freehold,5380000.0,711.0,,2.0,1.0,1.0,ahmedabad,7566.8073136427565
39 Lac ,Ready to Move,Resale,Unfurnished,West,"Garden/Park, Pool, Main Road",Freehold,3900000.0,674.0,,2.0,0.0,0.0,ahmedabad,5786.350148367953
1.25 Cr ,Ready to Move,Resale,Furnished,East,,Freehold,12500000.0,1665.0,3.0,3.0,1.0,1.0,ahmedabad,7507.507507507507
71 Lac ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",Freehold,7100000.0,1007.0,5.0,3.0,0.0,1.0,ahmedabad,7050.6454816286
46 Lac ,Ready to Move,New Property,Furnished,East,Main Road,,4600000.0,537.0,5.0,2.0,2.0,0.0,ahmedabad,8566.108007448789
70 Lac ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,7000000.0,1088.0,2.0,3.0,1.0,2.0,ahmedabad,6433.823529411765
1.15 Cr ,Ready to Move,Resale,Furnished,East,"Garden/Park, Main Road",Freehold,11500000.0,1665.0,4.0,3.0,1.0,1.0,ahmedabad,6906.906906906907
62 Lac ,Ready to Move,Resale,Unfurnished,North,Main Road,Freehold,6200000.0,990.0,4.0,2.0,1.0,0.0,ahmedabad,6262.626262626262
36 Lac ,Ready to Move,Resale,Semi-Furnished,,Garden/Park,Freehold,3600000.0,1098.0,2.0,2.0,1.0,0.0,ahmedabad,3278.688524590164
55 Lac ,Ready to Move,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,5500000.0,870.0,3.0,2.0,2.0,1.0,ahmedabad,6321.83908045977
95 Lac ,Ready to Move,Resale,Furnished,North - East,Main Road,Freehold,9500000.0,1656.0,1.0,3.0,1.0,1.0,ahmedabad,5736.714975845411
65 Lac ,Ready to Move,Resale,Furnished,East,,Freehold,6500000.0,1159.0,5.0,3.0,2.0,0.0,ahmedabad,5608.283002588439
52 Lac ,Ready to Move,Resale,Furnished,East,,Freehold,5200000.0,801.0,2.0,2.0,1.0,1.0,ahmedabad,6491.8851435705365
56 Lac ,Ready to Move,Resale,Semi-Furnished,East,,Freehold,5600000.0,990.0,4.0,2.0,1.0,0.0,ahmedabad,5656.565656565656
1.25 Cr ,Ready to Move,Resale,Semi-Furnished,East,Garden/Park,Freehold,12500000.0,1350.0,14.0,3.0,1.0,2.0,ahmedabad,9259.25925925926
78.9 Lac ,Ready to Move,Resale,Unfurnished,East,Main Road,Freehold,7890000.000000001,1122.0,9.0,3.0,1.0,1.0,ahmedabad,7032.085561497327
45 Lac ,Ready to Move,Resale,Unfurnished,,,,4500000.0,1215.0,8.0,2.0,1.0,0.0,ahmedabad,3703.703703703704
72 Lac ,Ready to Move,Resale,Semi-Furnished,,,,7200000.0,1800.0,2.0,4.0,0.0,0.0,ahmedabad,4000.0
55.5 Lac ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Co-operative Society,5550000.0,861.0,2.0,3.0,1.0,0.0,ahmedabad,6445.993031358885
2.29 Cr ,Ready to Move,Resale,Unfurnished,East,Garden/Park,Freehold,22900000.0,2122.0,,4.0,2.0,3.0,ahmedabad,10791.705937794533
57 Lac ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",Freehold,5700000.0,687.0,12.0,2.0,1.0,1.0,ahmedabad,8296.943231441048
31.8 Lac ,Ready to Move,Resale,Unfurnished,South -West,"Garden/Park, Main Road",Leasehold,3180000.0,999.0,1.0,2.0,0.0,0.0,ahmedabad,3183.1831831831832
2.25 Cr ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",Freehold,22500000.0,1925.0,9.0,4.0,1.0,2.0,ahmedabad,11688.311688311689
1.01 Cr ,Ready to Move,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,10100000.0,1174.0,11.0,3.0,1.0,1.0,ahmedabad,8603.066439522998
2.93 Cr ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",Freehold,29300000.0,2704.0,,5.0,2.0,3.0,ahmedabad,10835.798816568047
87 Lac ,Ready to Move,Resale,Furnished,East,"Garden/Park, Main Road",Freehold,8700000.0,1395.0,3.0,3.0,2.0,0.0,ahmedabad,6236.559139784947
55 Lac ,Ready to Move,Resale,Unfurnished,,,,5500000.0,1755.0,2.0,3.0,3.0,0.0,ahmedabad,3133.903133903134
38 Lac ,Ready to Move,New Property,Furnished,,"Garden/Park, Main Road",Co-operative Society,3800000.0,1000.0,3.0,2.0,1.0,0.0,ahmedabad,3800.0
62.9 Lac ,Ready to Move,Resale,Unfurnished,East,Garden/Park,Freehold,6290000.0,1655.0,4.0,3.0,1.0,1.0,ahmedabad,3800.6042296072505
50 Lac ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,5000000.0,792.0,1.0,2.0,1.0,1.0,ahmedabad,6313.131313131313
4.30 Cr ,Ready to Move,Resale,Unfurnished,North,"Garden/Park, Main Road",Freehold,43000000.0,3200.0,2.0,4.0,2.0,2.0,ahmedabad,13437.5
85 Lac ,Ready to Move,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,8500000.0,2000.0,1.0,2.0,2.0,0.0,ahmedabad,4250.0
1.25 Cr ,Ready to Move,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,12500000.0,1980.0,2.0,3.0,2.0,0.0,ahmedabad,6313.131313131313
1 Cr ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",Freehold,10000000.0,1409.0,4.0,3.0,1.0,2.0,ahmedabad,7097.232079488999
68 Lac ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,6800000.0,888.0,,3.0,0.0,1.0,ahmedabad,7657.657657657658
1.70 Cr ,Ready to Move,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Leasehold,17000000.0,2485.0,4.0,4.0,3.0,0.0,ahmedabad,6841.046277665996
85 Lac ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,8500000.0,1215.0,4.0,2.0,2.0,0.0,ahmedabad,6995.884773662551
65 Lac ,Ready to Move,Resale,Furnished,,,,6500000.0,1350.0,2.0,2.0,2.0,0.0,ahmedabad,4814.814814814815
1.85 Cr ,Ready to Move,Resale,Furnished,East,"Pool, Garden/Park, Main Road",Freehold,18500000.0,2415.0,18.0,3.0,5.0,2.0,ahmedabad,7660.455486542443
45 Lac ,Ready to Move,Resale,Unfurnished,,,,4500000.0,1400.0,4.0,2.0,0.0,0.0,ahmedabad,3214.285714285714
75 Lac ,Ready to Move,Resale,Semi-Furnished,,,,7500000.0,1620.0,10.0,3.0,2.0,0.0,ahmedabad,4629.62962962963
99 Lac ,Ready to Move,Resale,Unfurnished,,,,9900000.0,1395.0,3.0,2.0,0.0,0.0,ahmedabad,7096.774193548387
43 Lac ,Ready to Move,New Property,Semi-Furnished,East,,Freehold,4300000.0,500.0,2.0,2.0,1.0,0.0,ahmedabad,8600.0
70 Lac ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Main Road",Freehold,7000000.0,935.0,8.0,3.0,1.0,1.0,ahmedabad,7486.631016042781
3.40 Cr ,Ready to Move,Resale,Furnished,East,"Garden/Park, Pool, Main Road",Freehold,34000000.0,2035.0,2.0,4.0,1.0,1.0,ahmedabad,16707.616707616708
87 Lac ,Ready to Move,Resale,Furnished,West,Garden/Park,Freehold,8700000.0,1709.0,7.0,3.0,4.0,1.0,ahmedabad,5090.6963136337035
85 Lac ,Ready to Move,Resale,Semi-Furnished,,,Freehold,8500000.0,2178.0,6.0,4.0,0.0,0.0,ahmedabad,3902.6629935720844
40 Lac ,Ready to Move,Resale,Furnished,East,"Garden/Park, Main Road",Freehold,4000000.0,1107.0,2.0,2.0,2.0,1.0,ahmedabad,3613.369467028004
80 Lac ,Ready to Move,New Property,Unfurnished,East,Main Road,Freehold,8000000.0,1575.0,6.0,3.0,2.0,0.0,ahmedabad,5079.3650793650795
3.75 Cr ,Ready to Move,Resale,Unfurnished,East,Garden/Park,Freehold,37500000.0,2425.0,4.0,5.0,2.0,3.0,ahmedabad,15463.917525773197
56 Lac ,Ready to Move,Resale,Furnished,,Garden/Park,Co-operative Society,5600000.0,1395.0,5.0,2.0,2.0,1.0,ahmedabad,4014.336917562724
1.10 Cr ,Ready to Move,Resale,Furnished,North - East,,Freehold,11000000.0,1892.0,1.0,3.0,1.0,2.0,ahmedabad,5813.953488372093
1.20 Cr ,Ready to Move,Resale,Semi-Furnished,,"Garden/Park, Main Road",Co-operative Society,12000000.0,1926.0,4.0,3.0,2.0,401.0,ahmedabad,6230.529595015576
17.9 Lac ,Ready to Move,Resale,Unfurnished,,,,1789999.9999999998,344.448,5.0,1.0,1.0,0.0,ahmedabad,5196.720549981419
1.27 Cr ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,12700000.0,1500.0,10.0,4.0,1.0,2.0,ahmedabad,8466.666666666666
1.55 Cr ,Ready to Move,Resale,Furnished,East,Main Road,Freehold,15500000.0,1260.0,13.0,3.0,1.0,1.0,ahmedabad,12301.587301587302
62 Lac ,Ready to Move,Resale,Unfurnished,North - West,,Freehold,6200000.0,850.0,9.0,2.0,1.0,0.0,ahmedabad,7294.117647058823
45 Lac ,Ready to Move,Resale,Furnished,South -West,Main Road,Co-operative Society,4500000.0,900.0,3.0,2.0,2.0,1.0,ahmedabad,5000.0
1.11 Cr ,Ready to Move,Resale,Semi-Furnished,,,,11100000.000000002,2250.0,2.0,3.0,0.0,0.0,ahmedabad,4933.333333333334
58.9 Lac ,Ready to Move,New Property,Unfurnished,East,Garden/Park,Freehold,5890000.0,792.0,9.0,2.0,2.0,1.0,ahmedabad,7436.868686868687
50 Lac ,Ready to Move,Resale,Furnished,East,Main Road,Leasehold,5000000.0,1350.0,9.0,2.0,2.0,1.0,ahmedabad,3703.703703703704
1.18 Cr ,Ready to Move,Resale,Furnished,East,Garden/Park,Freehold,11800000.0,1235.0,13.0,3.0,1.0,1.0,ahmedabad,9554.655870445344
1.10 Cr ,Ready to Move,Resale,Unfurnished,East,Main Road,Freehold,11000000.0,1710.0,2.0,3.0,1.0,1.0,ahmedabad,6432.748538011696
38 Lac ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,3800000.0,607.0,11.0,2.0,1.0,1.0,ahmedabad,6260.2965403624385
27 Lac ,Ready to Move,Resale,Unfurnished,,,,2700000.0,575.0,3.0,1.0,0.0,0.0,ahmedabad,4695.652173913043
40 Lac ,Ready to Move,Resale,Semi-Furnished,,,,4000000.0,1064.0,0.0,2.0,0.0,0.0,ahmedabad,3759.3984962406016
42 Lac ,Ready to Move,Resale,Semi-Furnished,,,,4200000.0,1064.0,10.0,2.0,0.0,0.0,ahmedabad,3947.3684210526317
47 Lac ,Ready to Move,Resale,Furnished,East,"Garden/Park, Main Road",Freehold,4700000.0,990.0,4.0,2.0,1.0,0.0,ahmedabad,4747.474747474747
1.45 Cr ,Ready to Move,Resale,Furnished,East,"Garden/Park, Main Road",Freehold,14500000.0,1200.0,1.0,3.0,1.0,1.0,ahmedabad,12083.333333333334
22 Lac ,Ready to Move,Resale,Furnished,,,,2200000.0,372.0,1.0,1.0,1.0,0.0,ahmedabad,5913.978494623656
45 Lac ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,4500000.0,850.0,10.0,2.0,1.0,1.0,ahmedabad,5294.117647058823
40 Lac ,Ready to Move,Resale,Semi-Furnished,,,,4000000.0,1215.0,3.0,2.0,0.0,0.0,ahmedabad,3292.1810699588477
1 Cr ,Ready to Move,Resale,Furnished,,,Freehold,10000000.0,1350.0,3.0,3.0,1.0,0.0,ahmedabad,7407.407407407408
63 Lac ,Ready to Move,Resale,Unfurnished,East,Main Road,Co-operative Society,6300000.0,1503.0,12.0,3.0,0.0,0.0,ahmedabad,4191.616766467066
55 Lac ,Ready to Move,Resale,Unfurnished,East,"Pool, Garden/Park, Main Road",,5500000.0,1080.0,10.0,2.0,1.0,0.0,ahmedabad,5092.592592592592
55 Lac ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Co-operative Society,5500000.0,1180.0,5.0,2.0,3.0,0.0,ahmedabad,4661.016949152542
65 Lac ,Ready to Move,Resale,Unfurnished,,,,6500000.0,2039.0,1.0,3.0,3.0,1.0,ahmedabad,3187.8371750858264
55 Lac ,Ready to Move,Resale,Furnished,,,,5500000.0,1350.0,11.0,2.0,0.0,0.0,ahmedabad,4074.074074074074
48 Lac ,Ready to Move,Resale,Unfurnished,South - East,Main Road,Co-operative Society,4800000.0,713.0,2.0,2.0,2.0,0.0,ahmedabad,6732.117812061711
1.70 Cr ,Ready to Move,Resale,Furnished,East,"Garden/Park, Main Road",Freehold,17000000.0,1800.0,2.0,3.0,1.0,1.0,ahmedabad,9444.444444444445
4.25 Cr ,Ready to Move,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",Freehold,42500000.0,2310.0,7.0,4.0,1.0,1.0,ahmedabad,18398.2683982684
45 Lac ,Ready to Move,Resale,Unfurnished,,,Freehold,4500000.0,1395.0,4.0,2.0,0.0,0.0,ahmedabad,3225.8064516129034
62.1 Lac ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",Freehold,6210000.0,1472.0,7.0,3.0,1.0,2.0,ahmedabad,4218.75
35 Lac ,Ready to Move,Resale,Semi-Furnished,,,,3500000.0,800.0,1.0,2.0,0.0,0.0,ahmedabad,4375.0
51 Lac ,Ready to Move,Resale,Furnished,East,,,5100000.0,1215.0,4.0,2.0,2.0,1.0,ahmedabad,4197.530864197531
11.70 Cr ,Ready to Move,New Property,Unfurnished,East,,Freehold,117000000.0,5000.0,7.0,6.0,1.0,5.0,ahmedabad,23400.0
1.65 Cr ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Main Road",Co-operative Society,16500000.0,2295.0,6.0,3.0,1.0,2.0,ahmedabad,7189.5424836601305
3.50 Cr ,Ready to Move,Resale,Furnished,,,,35000000.0,3100.0,8.0,4.0,3.0,0.0,ahmedabad,11290.322580645161
32 Lac ,Ready to Move,Resale,,,,,3200000.0,721.0,,2.0,0.0,0.0,ahmedabad,4438.2801664355065
55 Lac ,Ready to Move,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,5500000.0,1170.0,2.0,2.0,1.0,0.0,ahmedabad,4700.854700854701
52 Lac ,Ready to Move,Resale,Unfurnished,East,Main Road,Freehold,5200000.0,800.0,6.0,2.0,1.0,1.0,ahmedabad,6500.0
1.75 Cr ,Ready to Move,Resale,Furnished,,,,17500000.0,2088.0,5.0,3.0,0.0,0.0,ahmedabad,8381.226053639846
1.15 Cr ,Ready to Move,Resale,Semi-Furnished,,,,11500000.0,1876.0,3.0,3.0,0.0,0.0,ahmedabad,6130.063965884861
1.15 Cr ,Ready to Move,Resale,Unfurnished,,,,11500000.0,2115.0,3.0,3.0,0.0,0.0,ahmedabad,5437.352245862884
1.20 Cr ,Ready to Move,Resale,Unfurnished,,,,12000000.0,2000.0,2.0,3.0,0.0,0.0,ahmedabad,6000.0
1.20 Cr ,Ready to Move,Resale,Furnished,,,,12000000.0,1800.0,4.0,3.0,0.0,0.0,ahmedabad,6666.666666666667
1.25 Cr ,Ready to Move,Resale,Furnished,,,,12500000.0,1980.0,3.0,3.0,0.0,0.0,ahmedabad,6313.131313131313
83 Lac ,Ready to Move,Resale,Semi-Furnished,East,Garden/Park,Freehold,8300000.0,1300.0,1.0,2.0,2.0,1.0,ahmedabad,6384.615384615385
29 Lac ,Ready to Move,Resale,Semi-Furnished,North - East,Garden/Park,Freehold,2900000.0,603.0,3.0,1.0,1.0,0.0,ahmedabad,4809.286898839137
60 Lac ,Ready to Move,Resale,Furnished,East,Garden/Park,Freehold,6000000.0,845.0,11.0,2.0,2.0,1.0,ahmedabad,7100.591715976331
65 Lac ,Ready to Move,Resale,Unfurnished,East,Garden/Park,Freehold,6500000.0,878.0,8.0,2.0,2.0,1.0,ahmedabad,7403.189066059225
1.70 Cr ,Ready to Move,Resale,Unfurnished,East,Main Road,Freehold,17000000.0,1620.0,0.0,3.0,0.0,0.0,ahmedabad,10493.827160493827
30 Lac ,Ready to Move,Resale,Semi-Furnished,,,,3000000.0,990.0,3.0,2.0,0.0,0.0,ahmedabad,3030.3030303030305
56 Lac ,Ready to Move,Resale,Unfurnished,North - East,Garden/Park,Freehold,5600000.0,1180.0,13.0,2.0,1.0,1.0,ahmedabad,4745.762711864407
4.50 Cr ,Ready to Move,Resale,Furnished,East,"Garden/Park, Pool, Main Road",Freehold,45000000.0,2500.0,2.0,4.0,1.0,1.0,ahmedabad,18000.0
70 Lac ,Ready to Move,Resale,Unfurnished,East,Garden/Park,Freehold,7000000.0,859.0,7.0,2.0,0.0,1.0,ahmedabad,8149.010477299185
1.65 Cr ,Ready to Move,Resale,Unfurnished,East,Main Road,Freehold,16500000.0,2475.0,7.0,3.0,1.0,2.0,ahmedabad,6666.666666666667
58 Lac ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Main Road",Freehold,5800000.0,669.0,11.0,2.0,1.0,1.0,ahmedabad,8669.65620328849
75 Lac ,Ready to Move,Resale,Furnished,East,"Garden/Park, Main Road",Freehold,7500000.0,890.0,,2.0,1.0,1.0,ahmedabad,8426.966292134832
88 Lac ,Ready to Move,Resale,Furnished,South -West,Garden/Park,Leasehold,8800000.0,1575.0,4.0,3.0,4.0,0.0,ahmedabad,5587.3015873015875
1.04 Cr ,Ready to Move,New Property,Unfurnished,East,Garden/Park,Freehold,10400000.0,1095.0,1.0,3.0,1.0,1.0,ahmedabad,9497.71689497717
70 Lac ,Ready to Move,Resale,Semi-Furnished,,"Garden/Park, Main Road",Co-operative Society,7000000.0,1210.0,2.0,2.0,1.0,0.0,ahmedabad,5785.123966942148
58 Lac ,Ready to Move,Resale,Semi-Furnished,North - West,Main Road,Co-operative Society,5800000.0,700.0,5.0,2.0,1.0,0.0,ahmedabad,8285.714285714286
62.5 Lac ,Ready to Move,Resale,Semi-Furnished,West,Garden/Park,Freehold,6250000.0,857.0,4.0,2.0,0.0,2.0,ahmedabad,7292.882147024504
1.30 Cr ,Ready to Move,Resale,Unfurnished,,Garden/Park,Freehold,13000000.0,1665.0,3.0,3.0,1.0,1.0,ahmedabad,7807.807807807808
85 Lac ,Ready to Move,Resale,Furnished,North - West,Garden/Park,Freehold,8500000.0,1215.0,1.0,2.0,1.0,1.0,ahmedabad,6995.884773662551
56 Lac ,Ready to Move,Resale,Unfurnished,North - East,"Garden/Park, Pool",Freehold,5600000.0,690.0,8.0,2.0,2.0,1.0,ahmedabad,8115.942028985507
68 Lac ,Ready to Move,Resale,Unfurnished,West,"Pool, Garden/Park, Main Road",Freehold,6800000.0,1440.0,8.0,3.0,1.0,0.0,ahmedabad,4722.222222222223
37 Lac ,Ready to Move,Resale,Furnished,,,,3700000.0,990.0,4.0,2.0,1.0,0.0,ahmedabad,3737.373737373737
1.23 Cr ,Ready to Move,Resale,Unfurnished,East,Garden/Park,Freehold,12300000.0,1280.0,2.0,3.0,1.0,1.0,ahmedabad,9609.375
1.50 Cr ,Ready to Move,Resale,Unfurnished,West,Main Road,Co-operative Society,15000000.0,1827.0,1.0,3.0,2.0,0.0,ahmedabad,8210.180623973727
90 Lac ,Ready to Move,Resale,Furnished,East,,Freehold,9000000.0,1248.0,1.0,3.0,2.0,0.0,ahmedabad,7211.538461538462
63 Lac ,Ready to Move,Resale,Furnished,East,"Pool, Garden/Park, Main Road",Freehold,6300000.0,980.0,8.0,2.0,1.0,1.0,ahmedabad,6428.571428571428
75 Lac ,Ready to Move,Resale,Semi-Furnished,North,,Freehold,7500000.0,1260.0,2.0,2.0,1.0,1.0,ahmedabad,5952.380952380952
2.15 Cr ,Ready to Move,Resale,Furnished,East,"Garden/Park, Main Road",Freehold,21500000.0,1410.0,6.0,3.0,1.0,2.0,ahmedabad,15248.22695035461
10.44 Cr ,Ready to Move,New Property,Unfurnished,East,Main Road,Freehold,104400000.0,4785.0,12.0,5.0,2.0,5.0,ahmedabad,21818.18181818182
1.30 Cr ,Ready to Move,Resale,Furnished,,,,13000000.0,1650.0,2.0,2.0,1.0,0.0,ahmedabad,7878.787878787879
1.22 Cr ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Main Road",Freehold,12200000.0,1296.0,7.0,3.0,1.0,1.0,ahmedabad,9413.58024691358
51 Lac ,Ready to Move,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,5100000.0,800.0,3.0,2.0,1.0,1.0,ahmedabad,6375.0
81 Lac ,Ready to Move,Resale,Furnished,East,"Garden/Park, Pool, Main Road",Freehold,8100000.0,1449.0,,3.0,2.0,0.0,ahmedabad,5590.062111801242
77 Lac ,Ready to Move,Resale,Unfurnished,North - East,"Garden/Park, Pool, Main Road",Freehold,7700000.0,1530.0,10.0,3.0,2.0,1.0,ahmedabad,5032.679738562091
2.10 Cr ,Ready to Move,Resale,Unfurnished,East,Garden/Park,Freehold,21000000.0,3000.0,3.0,3.0,1.0,1.0,ahmedabad,7000.0
95 Lac ,Ready to Move,Resale,Furnished,West,Garden/Park,Freehold,9500000.0,2750.0,12.0,3.0,1.0,0.0,ahmedabad,3454.5454545454545
43 Lac ,Ready to Move,Resale,Semi-Furnished,,,Freehold,4300000.0,900.0,2.0,2.0,2.0,1.0,ahmedabad,4777.777777777777
58 Lac ,Ready to Move,Resale,Unfurnished,East,,Freehold,5800000.0,1584.0,2.0,3.0,2.0,1.0,ahmedabad,3661.6161616161617
2.80 Cr ,Ready to Move,New Property,Semi-Furnished,East,Main Road,Freehold,28000000.0,2054.0,6.0,4.0,1.0,2.0,ahmedabad,13631.937682570593
85 Lac ,Ready to Move,Resale,Furnished,East,Garden/Park,Freehold,8500000.0,1470.0,5.0,3.0,1.0,1.0,ahmedabad,5782.312925170068
56 Lac ,Ready to Move,Resale,Unfurnished,North - East,"Garden/Park, Pool, Main Road",Freehold,5600000.0,751.0,7.0,2.0,1.0,0.0,ahmedabad,7456.724367509987
1.25 Cr ,Ready to Move,New Property,Unfurnished,,"Main Road, Garden/Park",Freehold,12500000.0,1881.0,13.0,3.0,2.0,0.0,ahmedabad,6645.401382243487
1.31 Cr ,Ready to Move,New Property,Unfurnished,North,"Garden/Park, Pool, Main Road",Freehold,13100000.0,1499.0,8.0,4.0,1.0,1.0,ahmedabad,8739.159439626417
55 Lac ,Ready to Move,Resale,Semi-Furnished,,,,5500000.0,1071.0,3.0,3.0,0.0,0.0,ahmedabad,5135.387488328664
60 Lac ,Ready to Move,Resale,Semi-Furnished,North,"Garden/Park, Main Road",Freehold,6000000.0,1197.0,3.0,2.0,2.0,1.0,ahmedabad,5012.5313283208025
90 Lac ,Ready to Move,New Property,Unfurnished,,"Garden/Park, Pool, Main Road",,9000000.0,1890.0,7.0,3.0,2.0,0.0,ahmedabad,4761.9047619047615
30 Lac ,Ready to Move,Resale,Semi-Furnished,North,"Pool, Garden/Park, Main Road",Co-operative Society,3000000.0,1000.0,6.0,1.0,1.0,0.0,ahmedabad,3000.0
